identifier,collection,name,url,thumbnailUrl,owner,rank,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2,priceCurrency,priceAmount,level,character_tokens,health,shield,talent_points_available,talent_points_total,earn_rate,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
CEA-2d29f9-04e3,CEA-2d29f9,Genesis Cantina Elrond Ape #1275,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1275.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d49e2ba6,erd1wntft3qs5f0zysvhfakdf9tz4hcl9526urh79call8l2y8vx8afqkpmyse,759,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,None,Rose,Punk,Green Dad Hat,Mercenary Armor Black,Company Pants Blue,Dual Grenades 2 Black,Artic,Grounded,Nano Meds,,,1,4,2700,1400,0,0,1.0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04e4,CEA-2d29f9,Genesis Cantina Elrond Ape #1495,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1495.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1185466f,erd1wntft3qs5f0zysvhfakdf9tz4hcl9526urh79call8l2y8vx8afqkpmyse,1764,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Cigar,None,None,Bandolier,Tactical Pants Black,Tactical Bags Green,Desert,Hodler,Black Widow,,,1,1,2600,1350,0,0,1.0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04e5,CEA-2d29f9,Genesis Cantina Elrond Ape #1187,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1187.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-bf11bac5,erd13rdx8ac5yd06phafmk7qkkjlzllw2cqc8feuu28y285n4ufv007sddyycw,1310,Genesis Cantina Elrond Ape,Silver,Default,Camo Closed,Camo,None,None,None,Skull,Large Vest Brown,Tactical Pants Orange,Tech Belt Brown,Artic,Cold Blooded,Cool Moves,,,11,2476,4143,2146,25,25,2.2,0,3,1,3,0,0,2,0,0,0,10,0,1,0,14,0,0,0,3,4,4
CEA-2d29f9-04e6,CEA-2d29f9,Genesis Cantina Elrond Ape #279,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/279.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2bf4b5b8,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,529,Genesis Cantina Elrond Ape,Epic,Default,Zombie Closed,Zombie,3D Glasses,None,Punk,None,Titan Armor Blue,Company Pants Orange,Tech Belt Grey,Outworld,Adrenaline Rush,Scavenger,,,20,0,7089,3902,70,70,4.47,1,3,0,0,13,4,5,0,3,0,1,3,0,10,0,0,0,0,0,0,0
CEA-2d29f9-04e7,CEA-2d29f9,Genesis Cantina Elrond Ape #1895,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1895.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-323d92bb,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1552,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,None,Mustache,None,None,Hoodie Blue,Tactical Pants Red,Company Bags Brown,Desert,Adrenaline Rush,Hodler,,,5,1010,2951,1531,0,0,1.37,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04e8,CEA-2d29f9,Genesis Cantina Elrond Ape #1002,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1002.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f2f53284,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,968,Genesis Cantina Elrond Ape,Silver,Default,Blue Closed,Blue,Love Glasses,None,None,Sponge,Tactical Vest Orange,Mercenary Pants Orange,Tech Belt Orange,Artic,Precision Weapons Proficiency,Stonewall,,,2,16,2754,1427,0,0,1.08,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
CEA-2d29f9-04e9,CEA-2d29f9,Genesis Cantina Elrond Ape #963,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/963.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f0392e46,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1259,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,None,Octopus Tentacle,None,Tennis Headband,T Shirt Orange,Tactical Pants Red,Tactical Bags Yellow,Artic,Cold Blooded,Overshield,,,3,23,2836,1469,0,0,1.17,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04ea,CEA-2d29f9,Genesis Cantina Elrond Ape #900,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/900.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f97c9414,erd13yg3w4y3u2tx840ds7dxxrvh52xfms00n972ayy3cvvqm534mkjslxvhzr,532,Genesis Cantina Elrond Ape,Silver,Default,Zombie Open,Zombie,Cyborg,Candy Cane,Punk,None,Leather Vest Red,Mercenary Pants Orange,Tech Belt Green,Artic,Adrenaline Rush,Scatter Weapons Proficiency,,,1,2,2700,1400,0,0,1.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
CEA-2d29f9-04eb,CEA-2d29f9,Genesis Cantina Elrond Ape #147,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/147.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-a8be9bac,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,151,Genesis Cantina Elrond Ape,Epic,Default,Platinum Closed,Platinum,3D Glasses,Mustache,None,Party,Mercenary Armor Mk.2 Blue,Titan Pants Red,Dual Grenades 2 Orange,Outworld,Nano Meds,Stonewall,,,11,7320,4449,2449,25,25,2.2,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04ec,CEA-2d29f9,Genesis Cantina Elrond Ape #386,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/386.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-82fd0071,erd1tuwx49dy9mttf2qedxkvxr7fjhrp9shywpe8yl40jarn37gjfxaqxauswl,569,Genesis Cantina Elrond Ape,Gold,Default,Camo Open,Camo,None,Rose,Tribal,Gold Crown,Titan Armor Red,Mercenary Pants Black,Radio,Golden,Explosive Weapons Proficiency,Escape Artist,,,7,342,3489,1867,5,5,1.6,3,0,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,10,0
CEA-2d29f9-04ed,CEA-2d29f9,Genesis Cantina Elrond Ape #1559,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1559.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-cba8e0ed,erd1yhttrtgd50fg27ge56pm3vw0z0y7s8ezwvyf6tmsuzjeeczs5wuszafl3m,1704,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Monolaser,None,None,None,Tank Shirt Black,Tactical Pants Black,Ammo Belt,Desert,Perseverance,Black Widow,,,1,0,2600,1350,0,0,1.0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04ee,CEA-2d29f9,Genesis Cantina Elrond Ape #1448,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1448.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1047000e,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1397,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,Steampunk,None,Tribal,None,Leather Vest Black,Tactical Pants Orange,Tactical Bags Brown,Desert,Perseverance,Black Widow,,,5,347,2951,1531,0,0,1.37,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04ef,CEA-2d29f9,Genesis Cantina Elrond Ape #268,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/268.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7633f0f3,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,133,Genesis Cantina Elrond Ape,Epic,Default,Zombie Open,Zombie,Green Visor,Cigar,Punk,Gold Crown,Company Armor Red,Mercenary Pants Black,Quad Grenades 1 Green,Outworld,Black Widow,Galvanized,,,4,29,3158,1739,0,0,1.27,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04f0,CEA-2d29f9,Genesis Cantina Elrond Ape #755,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/755.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d9fc5a8a,erd1hh9ldjc2d77rxx95e98a74sw3cqd0w8sjvq8xamh8e6a07mmf88qvv57d6,186,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,Zorro Mask,Pipe,None,Red Beanie,Titan Armor Blue,Company Pants Orange,Waistband Orange,Golden,Stonewall,Escape Artist,,,8,396,3669,1963,10,10,1.74,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
CEA-2d29f9-04f1,CEA-2d29f9,Genesis Cantina Elrond Ape #1364,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1364.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d1ae436a,erd17smex7zkfd338paxqc6d42tsd622kzpmkj9cq9hu5cck6kwx07qq8w6slu,902,Genesis Cantina Elrond Ape,Silver,Default,Camo Open,Camo,Cybermeta Tokyo,Bone,Tribal,None,Pilot Armor Blue,Tactical Pants Red,Dual Grenades 1 Black,Artic,Scatter Weapons Proficiency,Brawler,,,1,0,2700,1400,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
CEA-2d29f9-04f2,CEA-2d29f9,Genesis Cantina Elrond Ape #460,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/460.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d90ca0a5,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1257,Genesis Cantina Elrond Ape,Gold,Default,Grey Closed,Augmented,None,None,None,None,Mercenary Armor Red,Pilot Pants Orange,Quad Grenades 2 Green,Golden,Overshield,Grounded,,,5,2335,3178,1700,0,0,1.37,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04f3,CEA-2d29f9,Genesis Cantina Elrond Ape #588,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/588.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7d848489,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,751,Genesis Cantina Elrond Ape,Gold,Default,Camo Closed,Camo,Steampunk,None,None,Sponge,Mercenary Armor Orange,Titan Pants Red,Quad Grenades 1 Green,Golden,Cool Moves,Scavenger,EGLD,5.0,1,0,2800,1500,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0
CEA-2d29f9-04f4,CEA-2d29f9,Genesis Cantina Elrond Ape #2019,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2019.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b9a69801,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,1247,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,Cyborg,Mustache,None,None,T Shirt Green,Pilot Pants Black,Tactical Bags Brown,Desert,Nano Meds,Brawler,EGLD,0.99,6,1093,3088,1602,0,0,1.48,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
CEA-2d29f9-04f5,CEA-2d29f9,Genesis Cantina Elrond Ape #994,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/994.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-97544f8d,erd1lqasfsyrhtxwgfdjzy3j6xyajp49eruv9suhvqk9eqhs4jn8dspshpq5ef,724,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,None,Bone,Tribal,Sponge,Leather Vest Red,Rogue Pants Blue,Dual Grenades 2 Black,Artic,Nano Meds,Overshield,,,1,19,2700,1400,0,0,1.0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04f6,CEA-2d29f9,Genesis Cantina Elrond Ape #1272,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1272.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-63a263ed,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,924,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,None,Wheat,None,Site Helmet,Large Vest Red,Mercenary Pants Green,Dual Grenades 1 Blue,Artic,Overachiever,Brawler,,,3,24,2836,1469,0,0,1.17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
CEA-2d29f9-04f7,CEA-2d29f9,Genesis Cantina Elrond Ape #256,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/256.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-12877796,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,128,Genesis Cantina Elrond Ape,Epic,Augmented,Zombie Closed,Zombie,MetaScreen Red,None,None,Wizzard,Pilot Armor Mk.2 White,Mercenary Pants Red,Mortars Green,Outworld,Scavenger,Adrenaline Rush,EGLD,15.0,1,1,2900,1600,0,0,1.0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
CEA-2d29f9-04f8,CEA-2d29f9,Genesis Cantina Elrond Ape #1237,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1237.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-2d693ea7,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,407,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,Cybermeta Tokyo,Lollipop,Punk,Green Dad Hat,Hoodie Orange,Mercenary Pants Red,Dual Grenades 2 Blue,Artic,Elemental Weapons Proficiency,Precision Weapons Proficiency,,,4,69,2940,1523,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
CEA-2d29f9-04f9,CEA-2d29f9,Genesis Cantina Elrond Ape #1924,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1924.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1823c1f6,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,1692,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,None,Lollipop,None,None,T Shirt Orange,Company Pants Black,Tactical Bags Green,Desert,Escape Artist,Hodler,EGLD,2.2,1,0,2600,1350,0,0,1.0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
CEA-2d29f9-04fa,CEA-2d29f9,Genesis Cantina Elrond Ape #819,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/819.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-cd12c8b8,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,857,Genesis Cantina Elrond Ape,Silver,Augmented,Grey Closed,Augmented,None,None,None,Bob,Leather Vest Brown,Company Pants Blue,Company Bags Green,Artic,Escape Artist,Brawler,,,5,1872,3064,1587,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0
CEA-2d29f9-04fb,CEA-2d29f9,Genesis Cantina Elrond Ape #796,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/796.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-c09d72c4,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1311,Genesis Cantina Elrond Ape,Silver,Default,Zombie Open,Zombie,None,Bone,None,None,Mercenary Armor Green,Pilot Pants Black,Titan Bags Green,Artic,Hodler,Cool Moves,,,5,559,3064,1587,0,0,1.37,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
CEA-2d29f9-04fc,CEA-2d29f9,Genesis Cantina Elrond Ape #1690,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1690.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-0d1bb85c,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1844,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Pipe,Punk,None,Company Armor Black,Tactical Pants Black,None,Desert,Galvanized,Overachiever,,,7,751,3240,1681,5,5,1.6,10,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,1,0,2,0
CEA-2d29f9-04fd,CEA-2d29f9,Genesis Cantina Elrond Ape #2088,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2088.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ff7d11f3,erd19d6z7zdw8er0fltacw0v6zwaaf94qmlp3yf0es8aanq35y33hgjq8lg56u,1228,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Love Glasses,Bone,None,None,T Shirt Blue,Tactical Pants Orange,Ammo Belt,Desert,Perseverance,Overachiever,,,7,136,3240,1681,5,5,1.6,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04fe,CEA-2d29f9,Genesis Cantina Elrond Ape #1558,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1558.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b2d3bacc,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1075,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Love Glasses,Bone,Punk,None,Tank Shirt Green,Tactical Pants Red,Radio,Desert,Resilience,Overachiever,,,2,18,2652,1376,0,0,1.08,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-04ff,CEA-2d29f9,Genesis Cantina Elrond Ape #899,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/899.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3619cd8e,erd1nxs20z6xwtxeqgdk8dal4kypx58u342qfar4schjvx02upvatadscsrfyv,1007,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,None,Party Blower,None,Skull,Large Vest Orange,Pilot Pants Brown,Titan Bags Brown,Artic,Scatter Weapons Proficiency,Galvanized,,,6,159,3206,1661,0,0,1.48,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0
CEA-2d29f9-05,CEA-2d29f9,Genesis Cantina Elrond Ape #930,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/930.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8c506103,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1119,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,None,None,Punk,Bowler,Default,Tactical Pants Blue,Dual Grenades 2 Blue,Artic,Scatter Weapons Proficiency,Cool Moves,,,3,73,2836,1469,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
CEA-2d29f9-0500,CEA-2d29f9,Genesis Cantina Elrond Ape #21,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/21.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-51d29cc8,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,18,Genesis Cantina Elrond Ape,Legendary,Default,Gold Open,Gold,3D Glasses,Cigar,None,Party,Cyborg Body Steel,Cyborg Legs Black,Waistband Red,Neon,Escape Artist,Precision Weapons Proficiency,,,14,3199,5403,3142,40,40,2.79,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0
CEA-2d29f9-0501,CEA-2d29f9,Genesis Cantina Elrond Ape #1792,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1792.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ecae559a,erd19d6z7zdw8er0fltacw0v6zwaaf94qmlp3yf0es8aanq35y33hgjq8lg56u,1623,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,Steampunk,Octopus Tentacle,None,None,Tank Shirt Black,Pilot Pants Brown,None,Desert,Adrenaline Rush,Precision Weapons Proficiency,,,5,62,2951,1531,0,0,1.37,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
CEA-2d29f9-0502,CEA-2d29f9,Genesis Cantina Elrond Ape #182,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/182.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-53ea1119,erd1pdxw9f9ah05zw80y9s7433ae6egl3a3z2srwenzpg0vaggzxhdyqy9svzx,197,Genesis Cantina Elrond Ape,Epic,Default,Grey Open,Augmented,MetaScreen Matrix,Bubble Gum,None,Gold Crown,Mercenary Armor Red,Mercenary Pants Blue,Quad Grenades 2 Black,Outworld,Perseverance,Stonewall,,,10,706,4218,2322,20,20,2.03,2,1,0,10,3,1,0,4,0,0,4,12,1,0,1,1,0,0,0,0,0
CEA-2d29f9-0503,CEA-2d29f9,Genesis Cantina Elrond Ape #377,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/377.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f2dccc7a,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,345,Genesis Cantina Elrond Ape,Epic,Default,Zombie Open,Zombie,None,Bubble Gum,Punk,Party,Company Armor Red,Mercenary Pants Green,Dual Grenades 1 Blue,Outworld,Black Widow,Galvanized,,,20,0,7089,3902,70,70,4.47,2,2,0,0,1,5,14,12,2,2,3,0,0,2,3,2,0,0,0,0,0
CEA-2d29f9-0504,CEA-2d29f9,Genesis Cantina Elrond Ape #1258,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1258.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-af6c0e05,erd13f5xueg5s35j5453c7uw3eevuruwy6e78efy0jxv0w8z56aumwcq7rfqm7,1135,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,None,Lollipop,None,Viking,Leather Vest Black,Company Pants Orange,Tactical Bags Brown,Artic,Adrenaline Rush,Resilience,,,1,0,2700,1400,0,0,1.0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-0505,CEA-2d29f9,Genesis Cantina Elrond Ape #1063,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1063.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b3349d9d,erd13f5xueg5s35j5453c7uw3eevuruwy6e78efy0jxv0w8z56aumwcq7rfqm7,429,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,Funny Nose,Pipe,None,Green Dad Hat,Company Armor Orange,Company Pants Blue,Dual Grenades 2 Blue,Artic,Scavenger,Cool Moves,,,1,0,2700,1400,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0
CEA-2d29f9-0506,CEA-2d29f9,Genesis Cantina Elrond Ape #1953,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1953.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7d4702ec,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1928,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,None,None,Leather Vest Brown,Pilot Pants Brown,Tactical Bags Yellow,Desert,Scatter Weapons Proficiency,Nano Meds,,,2,19,2652,1376,0,0,1.08,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0
